caller_id,location,category,subcategory,u_symptom,priority,assignment_group
4062,108,37,135,118,2,Group 47
5457,204,37,135,118,2,Group 46
5457,204,37,135,118,2,Group 46
1522,128,24,164,117,2,Group 27
1522,128,24,164,117,2,Group 27
1536,161,37,123,117,2,Group 49
1536,161,37,123,117,2,Group 49
4420,55,37,123,117,2,Group 50
4420,55,37,123,117,2,Group 50
553,204,26,175,116,2,Group 25
553,204,26,175,116,2,Group 25
5306,143,26,175,116,2,Group 70
5306,143,26,175,116,2,Group 70
3153,204,61,164,115,2,Group 73
3153,204,61,164,115,2,Group 73
4749,93,17,90,86,2,Group 69
4749,93,17,90,86,2,Group 69
1262,204,9,202,70,2,Group 70
1262,204,9,202,70,2,Group 70
3136,143,57,217,43,2,Group 51
3136,143,57,217,43,2,Group 51
3276,161,40,215,10,2,Group 54
3276,161,40,215,10,2,Group 54
5609,232,51,301,9,2,Group 20
5609,232,51,301,9,2,Group 20
3865,204,40,44,7,2,Group 54
3865,204,40,44,7,2,Group 54
3966,18,40,44,7,2,Group 54
3966,18,40,44,7,2,Group 54
4861,161,53,219,4,2,Group 31
4861,161,53,219,4,2,Group 31
3368,93,26,175,4,2,Group 23
3368,93,26,175,4,2,Group 23
392,43,44,54,4,2,Group 70
392,43,44,54,4,2,Group 70
93,161,45,94,609,1,Group 15
93,161,45,94,609,1,Group 15
4736,204,51,301,592,1,Group 20
4736,204,51,301,592,1,Group 20
1441,179,46,223,592,1,Group 55
1441,179,46,223,592,1,Group 55
1441,179,46,223,592,1,Group 55
1441,179,46,223,592,1,Group 55
3318,204,46,223,592,1,Group 57
3318,204,46,223,592,1,Group 57
3388,51,46,223,592,1,Group 39
3388,51,46,223,592,1,Group 39
3388,51,46,223,592,1,Group 39
4725,161,46,223,592,1,Group 72
4725,161,46,223,592,1,Group 72
4725,161,46,223,592,1,Group 72
5149,51,46,223,592,1,Group 37
5149,51,46,223,592,1,Group 37
1441,179,45,200,581,1,Group 37
1441,179,45,200,581,1,Group 37
3763,199,46,220,551,1,Group 66
3763,199,46,220,551,1,Group 66
920,204,46,220,543,1,Group 66
920,204,46,220,543,1,Group 66
825,93,45,220,538,1,Group 39
825,93,45,220,538,1,Group 39
3763,199,42,223,532,1,Group 39
3763,199,42,223,532,1,Group 39
3763,199,42,223,532,1,Group 39
92,204,57,170,531,1,Group 65
92,204,57,170,531,1,Group 65
92,204,57,170,531,1,Group 65
2984,204,57,170,531,1,Group 65
2984,204,57,170,531,1,Group 65
2984,204,57,170,531,1,Group 65
1490,143,37,135,509,1,Group 65
1490,143,37,135,509,1,Group 65
1490,143,37,135,509,1,Group 65
5642,204,46,88,499,1,Group 31
5642,204,46,88,499,1,Group 31
396,204,46,88,496,1,Group 31
396,204,46,88,496,1,Group 31
432,51,46,255,491,1,Group 12
432,51,46,255,491,1,Group 12
4395,93,46,243,491,1,Group 57
4395,93,46,243,491,1,Group 57
3320,143,46,231,491,1,Group 15
3320,143,46,231,491,1,Group 15
3474,143,46,231,491,1,Group 37
3474,143,46,231,491,1,Group 37
3717,108,46,231,491,1,Group 55
3717,108,46,231,491,1,Group 55
3717,108,46,231,491,1,Group 55
4304,93,46,231,491,1,Group 37
4304,93,46,231,491,1,Group 37
79,108,42,223,491,1,Group 14
79,108,42,223,491,1,Group 14
79,108,42,223,491,1,Group 71
79,108,42,223,491,1,Group 71
79,108,42,223,491,1,Group 71
116,204,42,223,491,1,Group 13
116,204,42,223,491,1,Group 13
663,204,42,223,491,1,Group 65
663,204,42,223,491,1,Group 65
4047,204,42,223,491,1,Group 13
4047,204,42,223,491,1,Group 13
4047,204,42,223,491,1,Group 13
4175,204,42,223,491,1,Group 31
4175,204,42,223,491,1,Group 31
825,93,46,223,491,1,Group 39
825,93,46,223,491,1,Group 39
825,93,46,223,491,1,Group 39
825,93,46,223,491,1,Group 39
1141,93,46,223,491,1,Group 57
1141,93,46,223,491,1,Group 57
2358,51,46,223,491,1,Group 3
2358,51,46,223,491,1,Group 3
2636,108,46,223,491,1,Group 14
2636,108,46,223,491,1,Group 14
3962,173,46,223,491,1,Group 54
3962,173,46,223,491,1,Group 54
5206,161,46,223,491,1,Group 70
5206,161,46,223,491,1,Group 70
5206,161,46,223,491,1,Group 70
5206,161,46,223,491,1,Group 70
5433,204,46,223,491,1,Group 57
5433,204,46,223,491,1,Group 57
3038,204,46,220,491,1,Group 66
3038,204,46,220,491,1,Group 66
92,204,57,218,491,1,Group 65
92,204,57,218,491,1,Group 65
92,204,57,218,491,1,Group 65
5466,204,46,191,491,1,Group 58
5466,204,46,191,491,1,Group 58
1776,161,51,182,491,1,Group 24
1776,161,51,182,491,1,Group 24
1776,161,51,182,491,1,Group 24
499,51,26,175,491,1,Group 30
499,51,26,175,491,1,Group 30
499,51,26,175,491,1,Group 30
2832,204,17,174,491,1,Group 69
2832,204,17,174,491,1,Group 69
2832,204,17,174,491,1,Group 69
3664,36,20,174,491,1,Group 72
3664,36,20,174,491,1,Group 72
3664,36,20,174,491,1,Group 72
3759,43,20,174,491,1,Group 72
3759,43,20,174,491,1,Group 72
3759,43,20,174,491,1,Group 72
134,143,23,174,491,1,Group 72
134,143,23,174,491,1,Group 72
484,41,23,174,491,1,Group 72
484,41,23,174,491,1,Group 72
484,41,23,174,491,1,Group 72
948,210,23,174,491,1,Group 72
948,210,23,174,491,1,Group 72
948,210,23,174,491,1,Group 72
1477,96,23,174,491,1,Group 72
1477,96,23,174,491,1,Group 72
1477,96,23,174,491,1,Group 72
3067,54,23,174,491,1,Group 72
3067,54,23,174,491,1,Group 72
3067,54,23,174,491,1,Group 72
3869,45,23,174,491,1,Group 72
3869,45,23,174,491,1,Group 72
3869,45,23,174,491,1,Group 72
3914,96,23,174,491,1,Group 72
3914,96,23,174,491,1,Group 72
3914,96,23,174,491,1,Group 72
3998,199,23,174,491,1,Group 72
3998,199,23,174,491,1,Group 72
3998,199,23,174,491,1,Group 72
4502,108,23,174,491,1,Group 60
4502,108,23,174,491,1,Group 60
4502,108,23,174,491,1,Group 60
3505,22,28,174,491,1,Group 36
3505,22,28,174,491,1,Group 36
3505,22,28,174,491,1,Group 36
2471,204,42,174,491,1,Group 65
2471,204,42,174,491,1,Group 65
2471,204,42,174,491,1,Group 65
5254,108,57,174,491,1,Group 72
5254,108,57,174,491,1,Group 72
5254,108,57,174,491,1,Group 72
529,37,61,174,491,1,Group 73
529,37,61,174,491,1,Group 73
529,37,61,174,491,1,Group 73
4888,44,61,174,491,1,Group 70
4888,44,61,174,491,1,Group 70
4888,44,61,174,491,1,Group 70
424,143,57,170,491,1,Group 65
424,143,57,170,491,1,Group 65
424,143,57,170,491,1,Group 65
466,143,57,170,491,1,Group 54
466,143,57,170,491,1,Group 54
663,204,57,170,491,1,Group 65
663,204,57,170,491,1,Group 65
663,204,57,170,491,1,Group 65
2001,204,57,170,491,1,Group 65
2001,204,57,170,491,1,Group 65
2001,204,57,170,491,1,Group 65
3324,56,57,170,491,1,Group 65
3324,56,57,170,491,1,Group 65
4805,204,57,170,491,1,Group 65
4805,204,57,170,491,1,Group 65
4805,204,57,170,491,1,Group 65
111,85,19,163,491,1,Group 72
111,85,19,163,491,1,Group 72
111,85,19,163,491,1,Group 72
307,46,19,163,491,1,Group 70
307,46,19,163,491,1,Group 70
307,46,19,163,491,1,Group 70
1811,172,19,163,491,1,Group 72
1811,172,19,163,491,1,Group 72
1811,172,19,163,491,1,Group 72
2491,161,19,163,491,1,Group 72
2491,161,19,163,491,1,Group 72
2535,44,19,163,491,1,Group 72
2535,44,19,163,491,1,Group 72
2535,44,19,163,491,1,Group 72
4736,204,19,163,491,1,Group 20
4736,204,19,163,491,1,Group 20
4736,204,19,163,491,1,Group 20
5344,41,19,163,491,1,Group 72
5344,41,19,163,491,1,Group 72
5344,41,19,163,491,1,Group 72
5344,41,19,163,491,1,Group 72
5344,41,19,163,491,1,Group 72
4162,204,53,114,491,1,Group 66
4162,204,53,114,491,1,Group 66
519,204,46,94,491,1,Group 15
519,204,46,94,491,1,Group 15
519,204,46,94,491,1,Group 15
3102,51,17,90,491,1,Group 12
3102,51,17,90,491,1,Group 12
3102,51,17,90,491,1,Group 12
86,204,46,88,491,1,Group 31
86,204,46,88,491,1,Group 31
1550,235,53,82,491,1,Group 76
1550,235,53,82,491,1,Group 76
3374,108,53,82,491,1,Group 76
3374,108,53,82,491,1,Group 76
3374,108,53,82,491,1,Group 76
2690,51,44,60,491,1,Group 12
2690,51,44,60,491,1,Group 12
3062,37,61,36,491,1,Group 73
3062,37,61,36,491,1,Group 73
3062,37,61,36,491,1,Group 73
4770,17,61,36,491,1,Group 72
4770,17,61,36,491,1,Group 72
5008,90,42,31,491,1,Group 3
5008,90,42,31,491,1,Group 3
5008,90,42,31,491,1,Group 3
5008,90,42,31,491,1,Group 3
1393,15,42,29,491,1,Group 55
1393,15,42,29,491,1,Group 55
1393,15,42,29,491,1,Group 55
4070,93,51,6,491,1,Group 20
4070,93,51,6,491,1,Group 20
3933,143,45,94,486,1,Group 70
3933,143,45,94,486,1,Group 70
3933,143,45,94,486,1,Group 70
3933,143,45,94,486,1,Group 70
4179,76,42,31,486,1,Group 3
4179,76,42,31,486,1,Group 3
4782,108,46,251,435,1,Group 70
4782,108,46,251,435,1,Group 70
4782,108,46,251,435,1,Group 70
5533,41,46,251,435,1,Group 22
5533,41,46,251,435,1,Group 22
93,161,45,94,432,1,Group 33
93,161,45,94,432,1,Group 33
4463,93,42,31,424,1,Group 3
4463,93,42,31,424,1,Group 3
4463,93,42,31,424,1,Group 3
5281,161,53,80,391,1,Group 19
5281,161,53,80,391,1,Group 19
5281,161,53,80,391,1,Group 19
4179,76,42,31,374,1,Group 3
4179,76,42,31,374,1,Group 3
218,85,46,94,370,1,Group 33
218,85,46,94,370,1,Group 33
4777,18,46,94,370,1,Group 33
4777,18,46,94,370,1,Group 33
3047,204,46,88,354,1,Group 31
3047,204,46,88,354,1,Group 31
4478,204,46,88,354,1,Group 31
4478,204,46,88,354,1,Group 31
3047,204,46,88,351,1,Group 31
3047,204,46,88,351,1,Group 31
183,204,46,88,325,1,Group 31
183,204,46,88,325,1,Group 31
3728,204,46,88,322,1,Group 31
3728,204,46,88,322,1,Group 31
3779,51,19,4,311,1,Group 70
3779,51,19,4,311,1,Group 70
5073,38,19,4,311,1,Group 70
5073,38,19,4,311,1,Group 70
5073,38,19,4,311,1,Group 70
2216,55,57,170,296,1,Group 65
2216,55,57,170,296,1,Group 65
2216,55,57,170,296,1,Group 65
1329,204,46,246,293,1,Group 57
1329,204,46,246,293,1,Group 57
1329,204,46,246,293,1,Group 57
2001,204,46,246,293,1,Group 70
2001,204,46,246,293,1,Group 70
2001,204,46,246,293,1,Group 70
1441,179,46,231,292,1,Group 15
1441,179,46,231,292,1,Group 15
3468,161,46,249,286,1,Group 57
3468,161,46,249,286,1,Group 57
2539,35,46,242,274,1,Group 57
2539,35,46,242,274,1,Group 57
1393,197,42,31,273,1,Group 3
1393,197,42,31,273,1,Group 3
1904,125,46,248,267,1,Group 57
1904,125,46,248,267,1,Group 57
3217,204,46,248,267,1,Group 57
3217,204,46,248,267,1,Group 57
3320,143,46,231,264,1,Group 37
3320,143,46,231,264,1,Group 37
1988,204,46,231,263,1,Group 37
1988,204,46,231,263,1,Group 37
2491,161,46,231,263,1,Group 37
2491,161,46,231,263,1,Group 37
3363,143,55,170,257,1,Group 65
3363,143,55,170,257,1,Group 65
3363,143,55,170,257,1,Group 65
2539,35,37,135,257,1,Group 54
2539,35,37,135,257,1,Group 54
2250,93,46,231,236,1,Group 37
2250,93,46,231,236,1,Group 37
1641,18,45,229,236,1,Group 15
1641,18,45,229,236,1,Group 15
1641,18,45,229,236,1,Group 15
1641,18,45,229,236,1,Group 15
1641,18,45,229,236,1,Group 15
1641,18,45,229,236,1,Group 15
4402,15,42,31,236,1,Group 3
4402,15,42,31,236,1,Group 3
1519,245,46,233,228,1,Group 21
1519,245,46,233,228,1,Group 21
4938,226,46,233,228,1,Group 21
4938,226,46,233,228,1,Group 21
4938,226,46,233,228,1,Group 21
4938,226,46,233,228,1,Group 21
2410,204,42,224,224,1,Group 31
2410,204,42,224,224,1,Group 31
1755,44,46,251,218,1,Group 22
1755,44,46,251,218,1,Group 22
4477,216,46,231,211,1,Group 37
4477,216,46,231,211,1,Group 37
4642,161,46,231,211,1,Group 37
4642,161,46,231,211,1,Group 37
556,204,45,229,208,1,Group 15
556,204,45,229,208,1,Group 15
1127,51,51,182,208,1,Group 54
1127,51,51,182,208,1,Group 54
1127,51,51,182,208,1,Group 54
1127,51,51,182,208,1,Group 54
4019,204,20,125,208,1,Group 69
4019,204,20,125,208,1,Group 69
4019,204,20,125,208,1,Group 69
4019,204,20,125,208,1,Group 69
2020,204,45,94,208,1,Group 33
2020,204,45,94,208,1,Group 33
4518,143,37,123,118,1,Group 48
4518,143,37,123,118,1,Group 48
4518,143,37,123,118,1,Group 48
2692,143,19,289,117,1,Group 61
2692,143,19,289,117,1,Group 61
2403,93,20,125,116,1,Group 69
2403,93,20,125,116,1,Group 69
2403,93,20,125,116,1,Group 69
2403,93,20,125,116,1,Group 69
2786,135,61,164,114,1,Group 73
2786,135,61,164,114,1,Group 73
2786,135,61,164,114,1,Group 73
5275,229,61,164,114,1,Group 73
5275,229,61,164,114,1,Group 73
5275,229,61,164,114,1,Group 73
5275,229,61,164,114,1,Group 73
5275,229,61,164,114,1,Group 73
3437,136,46,47,93,1,Group 31
3437,136,46,47,93,1,Group 31
3437,136,46,47,93,1,Group 31
3437,136,46,47,93,1,Group 31
3437,136,46,47,93,1,Group 31
3437,136,46,47,93,1,Group 31
4288,51,37,135,87,1,Group 30
4288,51,37,135,87,1,Group 30
4288,51,37,135,87,1,Group 30
1666,51,17,90,86,1,Group 15
1666,51,17,90,86,1,Group 15
4736,204,51,6,68,1,Group 20
4736,204,51,6,68,1,Group 20
79,108,46,94,56,1,Group 14
79,108,46,94,56,1,Group 14
79,108,46,94,56,1,Group 14
3352,69,13,302,8,1,Group 72
3352,69,13,302,8,1,Group 72
3352,69,13,302,8,1,Group 72
2606,161,40,44,7,1,Group 72
2606,161,40,44,7,1,Group 72
2606,161,40,44,7,1,Group 72
1205,143,9,164,4,1,Group 28
1205,143,9,164,4,1,Group 28
1182,93,23,75,607,4,Group 23
1182,93,23,75,607,4,Group 23
807,93,45,94,589,4,Group 14
807,93,45,94,589,4,Group 14
64,131,55,120,580,4,Group 65
64,131,55,120,580,4,Group 65
3685,143,8,281,557,4,Group 53
3685,143,8,281,557,4,Group 53
2814,204,57,170,534,4,Group 70
2814,204,57,170,534,4,Group 70
3685,143,42,223,532,4,Group 39
3685,143,42,223,532,4,Group 39
3685,143,42,223,532,4,Group 55
3685,143,42,223,532,4,Group 55
2262,196,32,300,491,4,Group 70
2262,196,32,300,491,4,Group 70
3685,143,32,300,491,4,Group 14
3685,143,32,300,491,4,Group 14
1837,161,19,289,491,4,Group 72
1837,161,19,289,491,4,Group 72
1539,204,9,174,491,4,Group 25
1539,204,9,174,491,4,Group 25
4581,51,9,174,491,4,Group 30
4581,51,9,174,491,4,Group 30
5085,55,9,174,491,4,Group 23
5085,55,9,174,491,4,Group 23
958,179,23,174,491,4,Group 25
958,179,23,174,491,4,Group 25
647,204,26,174,491,4,Group 70
647,204,26,174,491,4,Group 70
1866,161,28,174,491,4,Group 66
1866,161,28,174,491,4,Group 66
3685,143,28,174,491,4,Group 39
3685,143,28,174,491,4,Group 39
3854,161,28,174,491,4,Group 14
3854,161,28,174,491,4,Group 14
3685,143,42,174,491,4,Group 28
3685,143,42,174,491,4,Group 28
3685,143,42,174,491,4,Group 28
3685,143,42,174,491,4,Group 28
3685,143,42,174,491,4,Group 39
3685,143,42,174,491,4,Group 39
3685,143,42,174,491,4,Group 39
3685,143,42,174,491,4,Group 39
3685,143,42,174,491,4,Group 39
3685,143,53,174,491,4,Group 20
3685,143,53,174,491,4,Group 20
3685,143,53,174,491,4,Group 28
3685,143,53,174,491,4,Group 28
3685,143,53,174,491,4,Group 28
3685,143,53,174,491,4,Group 28
2484,204,9,164,491,4,Group 70
2484,204,9,164,491,4,Group 70
3685,143,42,29,491,4,Group 55
3685,143,42,29,491,4,Group 55
5006,143,32,9,491,4,Group 70
5006,143,32,9,491,4,Group 70
5267,229,32,9,491,4,Group 70
5267,229,32,9,491,4,Group 70
2690,51,8,156,486,4,Group 53
2690,51,8,156,486,4,Group 53
5060,108,24,228,473,4,Group 27
5060,108,24,228,473,4,Group 27
1509,204,26,175,389,4,Group 25
1509,204,26,175,389,4,Group 25
5118,51,53,303,387,4,Group 30
5118,51,53,303,387,4,Group 30
1448,204,45,88,318,4,Group 31
1448,204,45,88,318,4,Group 31
1293,204,45,88,291,4,Group 67
1293,204,45,88,291,4,Group 67
849,161,45,191,208,4,Group 70
849,161,45,191,208,4,Group 70
379,93,26,175,208,4,Group 23
379,93,26,175,208,4,Group 23
1840,143,24,228,116,4,Group 28
1840,143,24,228,116,4,Group 28
2377,43,53,168,116,4,Group 29
2377,43,53,168,116,4,Group 29
4027,204,9,202,70,4,Group 25
4027,204,9,202,70,4,Group 25
4407,93,45,223,4,4,Group 31
4407,93,45,223,4,4,Group 31
3973,204,9,164,4,4,Group 25
3973,204,9,164,4,4,Group 25
4167,143,42,31,4,4,Group 39
4167,143,42,31,4,4,Group 39
3657,51,23,3,4,4,Group 72
3657,51,23,3,4,4,Group 72
203,108,45,200,609,3,Group 27
203,108,45,200,609,3,Group 27
649,108,9,164,609,3,Group 27
649,108,9,164,609,3,Group 27
1807,143,45,94,609,3,Group 33
1807,143,45,94,609,3,Group 33
93,161,46,94,609,3,Group 33
93,161,46,94,609,3,Group 33
203,108,46,94,609,3,Group 33
203,108,46,94,609,3,Group 33
203,108,46,94,609,3,Group 33
203,108,46,94,609,3,Group 33
203,108,46,94,609,3,Group 33
203,108,46,94,609,3,Group 33
203,108,46,94,609,3,Group 33
203,108,46,94,609,3,Group 33
342,108,46,94,609,3,Group 33
342,108,46,94,609,3,Group 33
1652,161,46,94,609,3,Group 33
1652,161,46,94,609,3,Group 33
2372,161,46,94,609,3,Group 33
2372,161,46,94,609,3,Group 33
2735,108,46,94,609,3,Group 70
2735,108,46,94,609,3,Group 70
2735,108,46,94,609,3,Group 70
2735,108,46,94,609,3,Group 70
2735,108,46,94,609,3,Group 70
2735,108,46,94,609,3,Group 70
4372,108,46,94,609,3,Group 33
4372,108,46,94,609,3,Group 33
4438,161,46,94,609,3,Group 33
4438,161,46,94,609,3,Group 33
4757,108,46,94,609,3,Group 33
4757,108,46,94,609,3,Group 33
5026,161,46,94,609,3,Group 33
5026,161,46,94,609,3,Group 33
5550,108,46,94,609,3,Group 33
5550,108,46,94,609,3,Group 33
1336,161,46,94,608,3,Group 33
1336,161,46,94,608,3,Group 33
1397,108,46,94,608,3,Group 70
1397,108,46,94,608,3,Group 70
2475,161,46,94,608,3,Group 33
2475,161,46,94,608,3,Group 33
2735,108,46,94,608,3,Group 33
2735,108,46,94,608,3,Group 33
2735,108,46,94,608,3,Group 70
2735,108,46,94,608,3,Group 70
2735,108,46,94,608,3,Group 70
2735,108,46,94,608,3,Group 70
2960,204,46,94,608,3,Group 33
2960,204,46,94,608,3,Group 33
3717,108,46,94,608,3,Group 33
3717,108,46,94,608,3,Group 33
4145,204,46,94,608,3,Group 33
4145,204,46,94,608,3,Group 33
2963,229,19,289,607,3,Group 24
2963,229,19,289,607,3,Group 24
5229,135,19,289,607,3,Group 24
5229,135,19,289,607,3,Group 24
5635,91,19,289,607,3,Group 24
5635,91,19,289,607,3,Group 24
5252,108,24,228,607,3,Group 27
5252,108,24,228,607,3,Group 27
980,51,9,204,607,3,Group 30
980,51,9,204,607,3,Group 30
3136,143,45,200,607,3,Group 28
3136,143,45,200,607,3,Group 28
2305,161,53,194,607,3,Group 24
2305,161,53,194,607,3,Group 24
800,212,26,175,607,3,Group 70
800,212,26,175,607,3,Group 70
4549,143,26,175,607,3,Group 70
4549,143,26,175,607,3,Group 70
876,161,55,170,607,3,Group 65
876,161,55,170,607,3,Group 65
2755,108,53,168,607,3,Group 72
2755,108,53,168,607,3,Group 72
4806,51,53,168,607,3,Group 30
4806,51,53,168,607,3,Group 30
154,108,9,164,607,3,Group 27
154,108,9,164,607,3,Group 27
1359,204,9,164,607,3,Group 25
1359,204,9,164,607,3,Group 25
4724,161,9,164,607,3,Group 24
4724,161,9,164,607,3,Group 24
5494,161,9,164,607,3,Group 24
5494,161,9,164,607,3,Group 24
1611,86,24,164,607,3,Group 29
1611,86,24,164,607,3,Group 29
3694,143,24,164,607,3,Group 28
3694,143,24,164,607,3,Group 28
3316,204,26,164,607,3,Group 25
3316,204,26,164,607,3,Group 25
3316,204,26,164,607,3,Group 25
2535,44,61,164,607,3,Group 73
